Campaign,Course,Market,Channel,Tag source,Launch date,Age (days),Display name,Campaign ID,Aliases
GE_Digi_CBO_Registration_MEA_Unbox_All Devices_Open_06082026,English,MEA,Meta,tagging sheet,05 Aug 2026,32,GE_Digi_CBO_Registration_MEA_Unbox_All Devices_Open_06082026,,
GE_Digi_CBO_Registration_US/CA/UK_Gita_15/07/2026,Gita,INT,Meta,tagging sheet,14 Jul 2026,54,GE_Digi_CBO_Registration_US/CA/UK_Gita_15/07/2026,,
GE_Digi_CBO_Registration_US/CA_Gita_IOS_Open_04082026,Gita,INT,Meta,tagging sheet,03 Aug 2026,34,GE_Digi_CBO_Registration_US/CA_Gita_IOS_Open_04082026,,
GE_Digi_MEA_Math/Science_iOS_Parents_06082026,Math/Science,MEA,Meta,tagging sheet,05 Aug 2026,32,GE_Digi_MEA_Math/Science_iOS_Parents_06082026,,
GE_Digi_US_Math/Science_iOS_Open_06082026,Math/Science,INT,Meta,tagging sheet,05 Aug 2026,32,GE_Digi_US_Math/Science_iOS_Open_06082026,,
GE_Digi_US_Math/Science_iOS_Parents_06082026,Math/Science,INT,Meta,tagging sheet,05 Aug 2026,32,GE_Digi_US_Math/Science_iOS_Parents_06082026,,
GE_India_Gita_interests_IOS_12032026,Gita,India,Meta,tagging sheet,11 Mar 2026,179,GE_India_Gita_interests_IOS_12032026,,
GE_India_IOS_Math/Science_02062026,Math/Science,India,Meta,tagging sheet,01 Jun 2026,97,GE_India_IOS_Math/Science_02062026,,
GE_India_IOS_Math/Science_14052026,Math/Science,India,Meta,tagging sheet,13 May 2026,116,GE_India_IOS_Math/Science_14052026,,
GE_India_IOS_Unbox_07052026,English,India,Meta,tagging sheet,06 May 2026,123,GE_India_IOS_Unbox_07052026,,
GE_Meta - Digi_CBO_Registration_IND_Math_Android Premium_Open_Scaling_NA_12082026,Math/Science,India,Meta,tagging sheet,11 Aug 2026,26,GE_Meta - Digi_CBO_Registration_IND_Math_Android Premium_Open_Scaling_NA_12082026,,
GE_Meta_AA_ABO_Add to Payment Info_IND_Gita_iOS_Open_Testing_20082026_NA,Gita,India,Meta,tagging sheet,19 Aug 2026,18,GE_Meta_AA_ABO_Add to Payment Info_IND_Gita_iOS_Open_Testing_20082026_NA,,
GE_Meta_AA_CBO_Registration_BDG_Science_AllDevice_...14082026_NA,Math/Science,BDG,Meta,tagging sheet,13 Aug 2026,24,GE_Meta_AA_CBO_Registration_BDG_Science_AllDevice_...14082026_NA,,
GE_Meta_AA_CBO_Registration_BDG_Science_AllDevice_Detailed Targeting_Scaling_14082026_NA,Math/Science,BDG,Meta,parsed-convention,13 Aug 2026,24,GE_Meta_AA_CBO_Registration_BDG_Science_AllDevice_Detailed Targeting_Scaling_14082026_NA,,
GE_Meta_Digi_ABO_Add to payment info_IND_Unbox_iOS_Women_Scaling_20082026_NA,English,India,Meta,tagging sheet,19 Aug 2026,18,GE_Meta_Digi_ABO_Add to payment info_IND_Unbox_iOS_Women_Scaling_20082026_NA,,
GE_Meta_Digi_ABO_Add to Wishlist_IND_Gita_iOS_Open_Testing_13082026_NA,Gita,India,Meta,tagging sheet,12 Aug 2026,25,GE_Meta_Digi_ABO_Add to Wishlist_IND_Gita_iOS_Open_Testing_13082026_NA,,
GE_Meta_Digi_ABO_Add to Wishlist_IND_Unbox_iOS_Open_Testing_13082026_NA,English,India,Meta,tagging sheet,12 Aug 2026,25,GE_Meta_Digi_ABO_Add to Wishlist_IND_Unbox_iOS_Open_Testing_13082026_NA,,
GE_Meta_Digi_ABO_Add to Wishlist_US_Gita_iOS_Women_Scaling_21082026_Duplicate-Of-worlwide,Gita,INT,Meta,tagging sheet,20 Aug 2026,17,GE_Meta_Digi_ABO_Add to Wishlist_US_Gita_iOS_Women_Scaling_21082026_Duplicate-Of-worlwide,,
GE_Meta_Digi_ABO_Registration_BDG_Math_...14082026_NA,Math/Science,BDG,Meta,tagging sheet,13 Aug 2026,24,GE_Meta_Digi_ABO_Registration_BDG_Math_...14082026_NA,,
GE_Meta_Digi_ABO_Registration_BDG_Math_iOS+AndroidPremium_DetailedTargeting_Scaling_14082026_NA,Math/Science,BDG,Meta,parsed-convention,13 Aug 2026,24,GE_Meta_Digi_ABO_Registration_BDG_Math_iOS+AndroidPremium_DetailedTargeting_Scaling_14082026_NA,,
GE_Meta_Digi_ABO_Registration_BDG_Science_...14082026_NA,Math/Science,BDG,Meta,tagging sheet,13 Aug 2026,24,GE_Meta_Digi_ABO_Registration_BDG_Science_...14082026_NA,,
GE_Meta_Digi_ABO_Registration_BDG_Science_iOS+AndroidPremium_DetailedTargeting_Scaling_14082026_NA,Math/Science,BDG,Meta,parsed-convention,13 Aug 2026,24,GE_Meta_Digi_ABO_Registration_BDG_Science_iOS+AndroidPremium_DetailedTargeting_Scaling_14082026_NA,,
GE_Meta_Digi_ABO_Registration_CA_Gita_...Scaling_23082026_Worldwide,Gita,INT,Meta,tagging sheet,22 Aug 2026,15,GE_Meta_Digi_ABO_Registration_CA_Gita_...Scaling_23082026_Worldwide,,
GE_Meta_Digi_ABO_Registration_CA_Gita_AllDevice_Age+Gender+Adv+_Scaling_23082026_Worldwide,Gita,INT,Meta,parsed-convention,22 Aug 2026,15,GE_Meta_Digi_ABO_Registration_CA_Gita_AllDevice_Age+Gender+Adv+_Scaling_23082026_Worldwide,,
GE_Meta_Digi_ABO_Registration_CA_Gita_iOS_LAL+Gender+Age_Scaling_24082026_Lookalike,Gita,INT,Meta,parsed-convention,23 Aug 2026,14,GE_Meta_Digi_ABO_Registration_CA_Gita_iOS_LAL+Gender+Age_Scaling_24082026_Lookalike,,
GE_Meta_Digi_ABO_Registration_IND_Gita_iOS_LAL+Gender+Age_Scaling_24082026_Lookalike,Gita,India,Meta,parsed-convention,23 Aug 2026,14,GE_Meta_Digi_ABO_Registration_IND_Gita_iOS_LAL+Gender+Age_Scaling_24082026_Lookalike,,
GE_Meta_Digi_ABO_Registration_IND_Math_iOS+AndroidPremium_LAL+Age_Scaling_25082026_Lookalike,Math/Science,India,Meta,parsed-convention,24 Aug 2026,13,GE_Meta_Digi_ABO_Registration_IND_Math_iOS+AndroidPremium_LAL+Age_Scaling_25082026_Lookalike,,
GE_Meta_Digi_ABO_Registration_IND_Science_iOS+AndroidPremium_LAL+Age_Scaling_25082026_Lookalike,Math/Science,India,Meta,parsed-convention,24 Aug 2026,13,GE_Meta_Digi_ABO_Registration_IND_Science_iOS+AndroidPremium_LAL+Age_Scaling_25082026_Lookalike,,
GE_Meta_Digi_ABO_Registration_IND_Unbox_iOS_LAL+Gender+Age_Scaling_31082026_Lookalike,English,India,Meta,parsed-convention,30 Aug 2026,7,GE_Meta_Digi_ABO_Registration_IND_Unbox_iOS_LAL+Gender+Age_Scaling_31082026_Lookalike,,
GE_Meta_Digi_ABO_Registration_MEA_Gita_iOS_LAL+Gender+Age_Scaling_24082026_Lookalike,Gita,MEA,Meta,parsed-convention,23 Aug 2026,14,GE_Meta_Digi_ABO_Registration_MEA_Gita_iOS_LAL+Gender+Age_Scaling_24082026_Lookalike,,
GE_Meta_Digi_ABO_Registration_MEA_Unbox_iOS_LAL+Gender+Age_Scaling_01092026_Lookalike,English,MEA,Meta,parsed-convention,31 Aug 2026,6,GE_Meta_Digi_ABO_Registration_MEA_Unbox_iOS_LAL+Gender+Age_Scaling_01092026_Lookalike,,
GE_Meta_Digi_ABO_Registration_US_Gita_...Scaling_23082026_Worldwide,Gita,INT,Meta,tagging sheet,22 Aug 2026,15,GE_Meta_Digi_ABO_Registration_US_Gita_...Scaling_23082026_Worldwide,,
GE_Meta_Digi_ABO_Registration_US_Gita_AllDevice_Age+Gender+Adv+_Scaling_23082026_Worldwide,Gita,INT,Meta,parsed-convention,22 Aug 2026,15,GE_Meta_Digi_ABO_Registration_US_Gita_AllDevice_Age+Gender+Adv+_Scaling_23082026_Worldwide,,
GE_Meta_Digi_ABO_Registration_US_Gita_iOS_LAL+Gender+Age_Scaling_24082026_Lookalike,Gita,INT,Meta,parsed-convention,23 Aug 2026,14,GE_Meta_Digi_ABO_Registration_US_Gita_iOS_LAL+Gender+Age_Scaling_24082026_Lookalike,,
GE_Meta_Digi_CBO_Add to Wishlist_IND_Unbox_iOS_Women_...20082026_NA,English,India,Meta,tagging sheet,19 Aug 2026,18,GE_Meta_Digi_CBO_Add to Wishlist_IND_Unbox_iOS_Women_...20082026_NA,,
GE_Meta_Digi_CBO_Add to Wishlist_IND_Unbox_iOS_Women_Scaling_20082026_NA,English,India,Meta,parsed-convention,19 Aug 2026,18,GE_Meta_Digi_CBO_Add to Wishlist_IND_Unbox_iOS_Women_Scaling_20082026_NA,,
GE_Meta_Digi_CBO_Add to Wishlist_IND_Unbox_iOS_Women_Scaling_20082026_NA =,English,India,Meta,tagging sheet,19 Aug 2026,18,GE_Meta_Digi_CBO_Add to Wishlist_IND_Unbox_iOS_Women_Scaling_20082026_NA =,,
GE_Meta_Digi_CBO_Registration_IND_Science_AndroidPremium_Open_Scaling_13082026_NA,Math/Science,India,Meta,tagging sheet,12 Aug 2026,25,GE_Meta_Digi_CBO_Registration_IND_Science_AndroidPremium_Open_Scaling_13082026_NA,,
GE_Meta_Digi_CBO_Registration_MEA_Math_AndroidPremium_...14082026_NA,Math/Science,MEA,Meta,tagging sheet,13 Aug 2026,24,GE_Meta_Digi_CBO_Registration_MEA_Math_AndroidPremium_...14082026_NA,,
GE_Meta_Digi_CBO_Registration_MEA_Math_AndroidPremium_DetailedTargeting_Scaling_14082026_NA,Math/Science,MEA,Meta,parsed-convention,13 Aug 2026,24,GE_Meta_Digi_CBO_Registration_MEA_Math_AndroidPremium_DetailedTargeting_Scaling_14082026_NA,,
GE_Meta_Digi_CBO_Registration_MEA_Science_iOS_Detailed Targeting_Scaling_14082026_NA,Math/Science,MEA,Meta,tagging sheet,13 Aug 2026,24,GE_Meta_Digi_CBO_Registration_MEA_Science_iOS_Detailed Targeting_Scaling_14082026_NA,,
GE_Meta_Digi_CBO_Registration_MEA_Unbox_AndroidPremium_...13082026_NA,English,MEA,Meta,tagging sheet,12 Aug 2026,25,GE_Meta_Digi_CBO_Registration_MEA_Unbox_AndroidPremium_...13082026_NA,,
GE_Meta_Digi_CBO_Registration_MEA_Unbox_AndroidPremium_DetailedTargeting_Scaling_13082026_NA,English,MEA,Meta,parsed-convention,12 Aug 2026,25,GE_Meta_Digi_CBO_Registration_MEA_Unbox_AndroidPremium_DetailedTargeting_Scaling_13082026_NA,,
GE_Meta_Digi_CBO_Registration_MEA_Unbox_iOS_...13082026_NA,English,MEA,Meta,tagging sheet,12 Aug 2026,25,GE_Meta_Digi_CBO_Registration_MEA_Unbox_iOS_...13082026_NA,,
GE_Meta_Digi_CBO_Registration_MEA_Unbox_iOS_DetailedTargeting_Scaling_13082026_NA,English,MEA,Meta,parsed-convention,12 Aug 2026,25,GE_Meta_Digi_CBO_Registration_MEA_Unbox_iOS_DetailedTargeting_Scaling_13082026_NA,,
